Code,Message,Severity,File,Project,Line,Column
AWFW27,Loading file C:\Users\Mfuentes\AppData\Local\Temp\WFNetMAP\0622112539316\libs\Collectors\Mobilize.Collectors.UICollector.WFPProcessor.5.4.17-alphasassautomat0075\Build\Mobilize.Collectors.UICollector.WFPProcessor.dll,Error,,,,
AWFW27,Loading file C:\Users\Mfuentes\AppData\Local\Temp\WFNetMAP\0622112539316\libs\Services\Mobilize.Services.WFHtmlGenerators.5.4.17-alphasassautomat0075\Build\Mobilize.Services.WFHtmlGenerators.dll,Error,,,,
